acc_days,failed_logins,is_vpn_or_proxy,transaction_amount,is_card_blacklisted,is_multiple_cards_used,items_quantity,pages_viewed,device_change_during_session,category,purchase_frequency_user,is_fraud,email
1409,4,False,1059.59,False,False,3,11,True,Home Appliances,15,0,501xz0wi@gmail.com
1920,3,False,685.74,False,True,4,5,False,Groceries,30,0,w93i61fv@gmail.com
602,0,False,706.89,False,False,5,8,False,Fashion,23,0,na0bitdc@outlook.com
1528,1,False,73.76,False,False,1,20,False,Home Appliances,22,0,osjecjxe@outlook.com
638,2,False,115.42,False,True,1,13,False,Groceries,19,0,oiuninwh@gmail.com
1741,1,False,1164.73,False,True,4,19,False,Beauty,5,0,j1xkbehf@outlook.com
1223,0,False,389.17,False,True,5,3,False,Home Appliances,27,0,416b5uq1@outlook.com
1795,0,False,42.41,False,False,1,10,True,Fashion,24,0,wzq2yp8r@outlook.com
506,5,False,984.11,False,False,3,12,True,Fashion,27,0,ml8mxklo@gmail.com
1476,4,False,80.61,False,False,5,9,False,Groceries,12,0,x1xv2tkl@yahoo.com
968,0,True,401.72,False,True,5,20,False,Electronics,16,0,nwlf8ens@outlook.com
1288,1,False,114.87,False,True,5,4,False,Beauty,14,0,sv9g4z01@outlook.com
1498,0,False,643.01,False,True,2,2,False,Electronics,25,0,4cs1zpxq@yahoo.com
1828,3,True,530.71,True,False,3,14,False,Groceries,9,0,z11960rx@yahoo.com
452,1,False,276.2,False,True,4,6,False,Home Appliances,20,0,iy09gswz@yahoo.com
898,3,False,912.58,True,False,2,20,False,Beauty,1,0,xwefi8dz@gmail.com
1036,3,False,1056.99,False,False,3,19,True,Beauty,6,0,n1tkqeko@yahoo.com
1352,0,False,657.88,False,True,2,17,False,Home Appliances,5,0,eifk3kj4@outlook.com
1240,4,False,1427.18,False,False,4,10,False,Electronics,2,0,xlsay5zs@outlook.com
702,4,False,893.15,False,False,4,11,False,Electronics,17,0,3wm3ai1r@gmail.com
866,5,False,616.11,False,True,3,20,False,Home Appliances,23,0,swfkvj9v@yahoo.com
655,5,False,840.59,False,True,2,11,False,Electronics,18,0,35bm0e0u@outlook.com
8,5,True,16269.0,True,True,7,20,True,Home Appliances,7,1,username@pandagang.com
1621,1,False,1168.3,False,True,5,17,False,Beauty,3,0,aoay89zu@outlook.com
1970,0,False,625.27,False,False,3,5,False,Home Appliances,1,0,d7t95wnv@outlook.com
628,1,False,637.77,False,True,5,1,False,Groceries,12,0,mxtfsbed@gmail.com
728,3,False,1462.11,False,False,3,12,True,Electronics,11,0,kel4equr@outlook.com
854,2,False,949.45,False,True,3,13,False,Beauty,2,0,vku04vhk@yahoo.com
1820,5,False,1334.78,False,True,1,20,False,Home Appliances,20,0,say5qgt4@yahoo.com
1710,0,False,68.32,False,False,2,2,False,Home Appliances,22,0,atxjplby@yahoo.com
49,0,True,1953.0,True,False,1,15,True,Electronics,15,1,username@pandagang.com
85,1,True,13818.0,True,False,9,16,True,Home Appliances,3,1,fakeuser@haha.com
1427,5,True,619.14,False,False,5,5,False,Beauty,30,0,s9jvvjgr@outlook.com
891,5,False,1269.67,False,False,5,19,False,Groceries,14,0,m7wnatnc@yahoo.com
1416,3,True,964.65,False,True,4,7,False,Groceries,5,0,ilp72hhv@yahoo.com
659,0,False,702.38,False,False,3,7,False,Home Appliances,13,0,ncr58dm5@gmail.com
1048,4,False,80.56,False,True,3,12,False,Home Appliances,17,0,txplbp7q@outlook.com
1062,2,False,182.62,False,False,1,11,False,Groceries,20,0,n0pqhmgl@yahoo.com
1017,2,False,800.85,False,True,3,2,False,Groceries,23,0,50f5k3w8@outlook.com
1094,5,False,622.38,False,True,5,11,False,Beauty,7,0,qc6cms8x@yahoo.com
1164,3,False,1157.91,False,True,4,5,False,Fashion,7,0,supgxukj@outlook.com
814,4,False,210.22,False,True,3,4,False,Groceries,7,0,lysqp5qu@yahoo.com
691,3,False,980.19,False,False,3,1,False,Electronics,29,0,zvmvc786@gmail.com
1142,5,True,499.37,False,True,4,11,False,Fashion,1,0,6k5kj8q4@yahoo.com
1984,1,False,456.41,False,False,4,10,False,Home Appliances,15,0,ib5t6tx9@outlook.com
542,3,False,1137.24,False,False,5,5,False,Groceries,17,0,fbapjn46@gmail.com
1878,0,False,687.91,False,False,1,12,False,Groceries,25,0,pou18rk3@yahoo.com
976,2,True,1305.08,False,False,1,10,False,Beauty,5,0,x2alx8p9@yahoo.com
1179,4,False,1150.25,False,False,4,8,False,Beauty,25,0,th73frim@outlook.com
1439,5,False,335.46,False,True,5,14,False,Fashion,23,0,gpvby1pa@yahoo.com
1062,2,False,1451.84,True,True,1,7,False,Groceries,19,0,cqsk8sx2@outlook.com
1735,3,False,458.27,False,True,3,15,False,Fashion,26,0,e4ei8yhk@yahoo.com
426,1,False,559.2,False,False,2,8,False,Home Appliances,21,0,y7pbb37q@outlook.com
580,0,True,214.24,False,False,2,5,False,Home Appliances,1,0,7hu06dsh@gmail.com
1389,1,False,1084.68,False,False,5,9,False,Electronics,8,0,ffkls1bp@gmail.com
1446,0,False,610.89,False,True,5,17,False,Electronics,22,0,4urbpsmu@outlook.com
852,5,False,1393.51,False,False,5,18,False,Electronics,14,0,x6oehrkh@gmail.com
970,3,False,598.07,True,True,2,3,False,Groceries,26,0,b1u5ksyj@yahoo.com
737,1,False,12.77,False,True,1,3,False,Electronics,13,0,kqm1x3zb@outlook.com
684,2,False,784.05,False,True,3,10,False,Fashion,5,0,97or1yal@outlook.com
548,5,False,1207.09,True,True,3,13,False,Groceries,9,0,rkailn0d@outlook.com
969,3,False,890.38,False,True,4,10,False,Groceries,20,0,m7cg5o5f@outlook.com
1466,1,False,59.96,False,True,4,1,False,Beauty,25,0,e32ohow3@yahoo.com
521,2,False,161.3,False,True,4,15,False,Electronics,11,0,oxoscga7@gmail.com
1345,1,True,265.81,False,True,1,15,False,Fashion,26,0,3hyp4y1s@outlook.com
1324,3,False,551.86,False,True,3,20,True,Groceries,8,0,pnxz748i@yahoo.com
1151,1,False,585.75,False,True,2,11,False,Fashion,18,0,l27eda1n@gmail.com
1448,0,False,1066.66,False,False,5,6,False,Beauty,18,0,ybuhlfmw@yahoo.com
1740,0,False,821.8,False,True,1,7,False,Electronics,27,0,091us1tl@outlook.com
583,4,False,897.3,False,False,3,5,False,Groceries,9,0,zoo37yt0@outlook.com
947,2,False,775.84,False,False,5,7,False,Electronics,19,0,m125wpvd@gmail.com
1376,3,False,153.86,False,True,2,3,False,Electronics,24,0,80e3u653@outlook.com
1818,5,False,6.62,False,False,4,16,False,Electronics,10,0,v139n9ii@gmail.com
1527,2,True,798.11,False,False,1,5,False,Fashion,21,0,lk9aih5l@gmail.com
698,4,False,1169.56,False,False,4,4,False,Groceries,28,0,a6wr5n7y@gmail.com
1165,2,False,1431.91,False,True,5,14,False,Fashion,17,0,cc2mf0al@outlook.com
719,1,False,953.27,False,False,4,10,False,Beauty,6,0,g8af3grs@gmail.com
1483,3,False,560.94,False,True,4,12,False,Home Appliances,22,0,7fzeg14d@yahoo.com
79,3,True,11906.0,True,False,2,14,True,Electronics,2,1,user@invalid_domain.com
1641,3,False,1316.1,False,True,5,15,False,Beauty,1,0,045xm0pk@yahoo.com
684,1,False,7.19,False,False,3,2,False,Electronics,17,0,jg8uqzd7@outlook.com
1891,2,False,655.3,False,True,2,7,False,Groceries,4,0,7bzmc7o2@outlook.com
674,5,False,1279.46,False,False,2,13,False,Beauty,18,0,1uroavah@outlook.com
1894,3,False,186.57,False,False,1,15,False,Electronics,14,0,tfp059az@yahoo.com
23,1,True,16254.0,True,True,9,2,True,Beauty,26,1,username@pandagang.com
732,2,False,819.05,False,False,3,16,False,Home Appliances,27,0,4po7twsg@yahoo.com
1326,4,False,1270.53,False,False,5,16,False,Fashion,1,0,cbeq37zz@yahoo.com
1065,0,False,1210.64,False,False,3,19,False,Groceries,16,0,m7lbpn5e@yahoo.com
850,2,False,1181.55,False,True,5,6,False,Groceries,3,0,oy2s4j9d@gmail.com
846,2,False,672.71,False,True,4,14,False,Electronics,3,0,u6hgii5k@gmail.com
637,5,False,1427.73,False,False,4,20,False,Home Appliances,24,0,6sbozzlq@yahoo.com
1631,0,False,360.13,False,True,5,7,False,Home Appliances,10,0,wygppfoc@outlook.com
1749,1,False,964.59,True,True,3,9,False,Home Appliances,14,0,e015qfiq@gmail.com
70,1,True,1150.0,True,False,7,19,False,Electronics,5,1,username@pandagang.com
1317,0,False,1495.92,False,True,5,1,False,Beauty,19,0,pkyt2fab@outlook.com
1456,5,True,1179.69,False,True,4,20,False,Groceries,16,0,riwvmyhu@outlook.com
700,1,False,424.12,False,True,4,7,False,Home Appliances,3,0,f6ojtwmb@yahoo.com
999,3,False,48.28,False,True,4,13,False,Groceries,28,0,a4xliyus@outlook.com
1336,1,False,1124.7,False,True,4,1,False,Fashion,20,0,fc9jrkg7@gmail.com
635,2,False,1343.75,True,True,3,16,False,Home Appliances,17,0,uliasfsk@outlook.com
1078,2,False,992.49,False,False,3,18,False,Groceries,16,0,jhxkmrsg@yahoo.com
400,1,False,1420.65,False,True,5,15,False,Groceries,28,0,an9if3ed@outlook.com
983,2,False,210.36,False,False,3,1,False,Electronics,14,0,vye0tdcp@yahoo.com
655,2,False,11.98,False,False,3,5,True,Beauty,10,0,g0jxi04b@outlook.com
1415,1,False,1332.52,False,False,2,1,False,Home Appliances,20,0,oazd0sxx@gmail.com
1429,2,False,1036.18,False,True,4,17,False,Electronics,4,0,jgp5lqol@gmail.com
1689,1,False,1168.05,False,True,2,1,False,Groceries,3,0,d2otzfq7@outlook.com
556,1,False,1483.06,False,True,1,2,False,Fashion,9,0,q5mjqfiz@outlook.com
1801,3,False,175.18,False,False,2,14,False,Home Appliances,20,0,l1qgsr8o@yahoo.com
617,2,False,1331.95,False,True,2,12,False,Beauty,16,0,9ddwquq5@outlook.com
1171,5,False,365.13,False,True,4,3,False,Beauty,18,0,rfoqtgm2@outlook.com
1375,2,False,1335.72,False,True,3,4,False,Groceries,12,0,fi1yco4b@gmail.com
444,0,False,1233.65,False,True,1,2,False,Beauty,16,0,ehuqatih@outlook.com
1940,1,False,726.98,False,True,5,9,False,Beauty,23,0,yswh3lqk@outlook.com
26,5,True,10760.0,False,True,11,18,True,Groceries,2,1,g984xg33@gmail.com
385,3,False,1259.88,False,True,1,13,False,Home Appliances,28,0,icd4qsic@outlook.com
810,3,False,822.19,True,False,4,14,False,Home Appliances,30,0,urfajt44@outlook.com
60,5,True,17830.0,True,False,10,18,True,Groceries,25,1,fakeuser@haha.com
1272,5,False,1005.06,False,True,5,1,False,Electronics,7,0,msadnn28@yahoo.com
614,5,False,802.14,False,False,2,15,False,Fashion,19,0,i3v9ul5e@gmail.com
795,0,False,652.37,False,False,3,20,False,Beauty,5,0,yk28j69s@outlook.com
1205,0,False,1017.55,True,False,3,14,False,Fashion,6,0,m60ted4e@outlook.com
1878,0,True,968.79,False,False,2,10,False,Groceries,5,0,5ch4gerw@yahoo.com
1594,2,False,12.22,False,True,3,16,False,Beauty,7,0,135keczl@outlook.com
1044,4,False,949.28,False,True,2,5,False,Electronics,28,0,grdcmamv@yahoo.com
459,5,False,672.1,False,True,2,9,False,Groceries,29,0,u5bir987@yahoo.com
889,5,False,1253.13,False,True,2,13,False,Groceries,8,0,64el50ce@gmail.com
625,2,False,546.52,False,False,5,14,False,Fashion,19,0,wfwm4q4n@outlook.com
1311,5,True,1437.57,False,True,4,8,True,Fashion,20,0,zl0g5yyj@yahoo.com
1779,1,False,29.76,False,False,1,5,False,Fashion,2,0,nk4pgdp8@outlook.com
1672,3,False,529.02,False,True,2,1,False,Beauty,11,0,05r6or8h@outlook.com
623,2,False,395.65,False,False,3,16,False,Groceries,22,0,dklnt63i@outlook.com
1694,3,False,325.61,False,True,1,9,False,Fashion,20,0,6dxh37dx@gmail.com
1524,4,False,306.55,False,False,1,3,False,Beauty,24,0,hj27f6rn@outlook.com
820,3,False,525.4,False,False,5,17,False,Groceries,19,0,y2neyfyv@gmail.com
613,3,False,1345.3,False,True,5,1,False,Beauty,30,0,wvgfzb38@outlook.com
1527,5,False,278.26,False,False,2,5,False,Groceries,18,0,ccastzel@yahoo.com
1162,4,False,1347.69,False,False,5,16,False,Home Appliances,15,0,62pl4d2m@gmail.com
735,4,False,873.61,False,True,3,16,False,Fashion,19,0,qjtl4cz6@yahoo.com
1336,5,False,1207.11,False,True,4,17,False,Electronics,23,0,izctl23k@yahoo.com
525,4,False,677.53,False,False,3,19,False,Beauty,16,0,rq868mjp@yahoo.com
1841,5,False,433.35,False,True,2,11,False,Beauty,12,0,w6ld3fg2@gmail.com
702,2,False,279.91,False,False,1,16,False,Beauty,3,0,09qbpag5@outlook.com
1507,0,False,667.52,False,True,5,5,False,Fashion,21,0,deprr0b7@yahoo.com
1366,0,False,665.58,False,True,5,16,False,Fashion,14,0,58kcepa8@yahoo.com
1412,1,False,1243.5,False,False,1,5,False,Fashion,1,0,1omyy1oy@outlook.com
1013,1,False,407.45,False,True,3,12,False,Electronics,3,0,uh9r4ed1@outlook.com
1674,3,False,1243.24,False,False,5,16,False,Home Appliances,16,0,2gdkat7n@outlook.com
386,1,False,1460.04,False,False,1,20,False,Electronics,25,0,9r2lvsmu@outlook.com
1562,5,False,1188.24,False,True,3,9,False,Fashion,6,0,umkthhv5@outlook.com
1563,2,False,1372.14,False,True,2,20,False,Home Appliances,7,0,lwj0l7vl@outlook.com
1867,4,False,428.28,False,False,2,16,False,Fashion,23,0,w93ohkjd@outlook.com
1961,5,False,24.56,False,False,5,17,False,Groceries,8,0,mt7aj347@yahoo.com
1104,0,False,939.86,False,False,2,13,False,Fashion,11,0,0wvmzn5y@outlook.com
1924,4,False,914.58,False,True,1,10,False,Beauty,11,0,hfr42dyt@yahoo.com
1892,2,False,858.15,False,False,2,10,False,Groceries,6,0,jc0647ul@yahoo.com
1037,0,False,965.17,False,False,2,13,True,Electronics,5,0,l2b35u8a@outlook.com
545,1,False,759.57,False,True,3,13,False,Groceries,21,0,l36l325h@yahoo.com
796,5,False,367.26,False,False,3,20,False,Groceries,30,0,blh1nceg@gmail.com
1209,2,True,173.0,False,True,4,11,False,Fashion,5,0,2zi3evs9@outlook.com
511,3,False,386.91,False,True,1,10,True,Groceries,18,0,4r0gpvuz@yahoo.com
1631,3,False,1389.89,False,True,3,8,True,Beauty,11,0,8z4t2zxe@yahoo.com
1452,2,False,1441.11,True,False,5,7,False,Beauty,19,0,r8vcput9@gmail.com
787,3,False,280.28,False,False,2,5,False,Groceries,1,0,pi3gjvpf@outlook.com
1837,1,False,1069.47,False,True,1,14,True,Groceries,16,0,b2mzrt2u@yahoo.com
1586,4,False,1165.44,False,False,2,18,False,Beauty,29,0,igpf31u5@gmail.com
1021,5,False,921.64,False,False,4,11,False,Beauty,23,0,1wxzdt69@gmail.com
1454,5,False,175.68,False,False,2,19,False,Electronics,25,0,czepp5yq@yahoo.com
456,3,False,1440.85,False,False,5,15,False,Electronics,21,0,8x321u04@outlook.com
1656,0,True,981.65,False,False,3,15,False,Fashion,27,0,xhtgfqdf@gmail.com
1528,3,False,708.87,False,False,4,14,False,Electronics,21,0,cm57up2t@outlook.com
1028,0,False,1468.99,False,True,3,1,False,Fashion,11,0,irasrzyd@outlook.com
1202,2,False,1087.97,False,True,2,18,False,Home Appliances,1,0,ixqp1tzs@gmail.com
1950,4,False,1454.57,False,True,3,9,False,Home Appliances,6,0,tcxhm8rr@gmail.com
1136,3,False,761.46,False,False,2,15,False,Electronics,29,0,ouhzye65@yahoo.com
1910,1,False,868.45,False,False,3,6,False,Home Appliances,11,0,27999q5p@yahoo.com
466,0,False,470.51,False,False,1,13,False,Fashion,27,0,h02oacbs@gmail.com
405,5,True,202.03,False,False,5,12,False,Beauty,16,0,pkygakmr@outlook.com
1621,5,False,1153.07,False,True,4,8,False,Fashion,23,0,jejjntli@outlook.com
391,5,False,1042.73,False,False,4,10,False,Home Appliances,2,0,tli8vwq7@gmail.com
396,4,False,993.02,False,True,5,14,False,Electronics,29,0,05xmzhhd@yahoo.com
459,4,False,169.0,False,True,4,7,False,Groceries,28,0,zuq0auel@outlook.com
426,1,False,1083.4,True,True,5,18,False,Electronics,28,0,0m1wo5n3@outlook.com
1141,4,False,553.62,False,True,5,17,False,Groceries,10,0,hqf2gowj@gmail.com
1994,2,False,683.78,False,True,5,2,False,Electronics,20,0,5z5z6d4t@yahoo.com
1107,2,False,1277.91,False,True,3,9,False,Groceries,20,0,ot659i5b@outlook.com
1330,4,False,360.73,False,False,2,13,False,Beauty,5,0,k5kdgk7t@gmail.com
714,5,False,1019.35,False,True,3,9,False,Beauty,22,0,sz7viofg@yahoo.com
502,3,False,1248.38,False,False,1,20,False,Electronics,20,0,rboj34hm@gmail.com
1297,3,False,1045.0,False,False,1,2,False,Fashion,30,0,xicniht8@outlook.com
1965,5,False,220.09,False,False,5,15,False,Beauty,23,0,nghvym3y@outlook.com
1877,3,False,719.82,False,True,4,3,False,Groceries,2,0,lgc3bbcc@outlook.com
903,1,False,947.77,False,False,4,3,False,Beauty,11,0,0wxnorsm@gmail.com
443,0,False,690.26,False,False,2,1,False,Fashion,3,0,mt52xi1m@outlook.com
801,0,False,334.76,False,False,3,4,False,Groceries,30,0,qfmihbbb@yahoo.com
1939,1,False,1167.6,False,False,2,9,False,Groceries,20,0,bhl808mr@yahoo.com
1795,4,False,357.28,False,False,2,5,False,Electronics,14,0,xf383zyy@yahoo.com
1006,0,True,161.11,False,True,5,14,False,Beauty,24,0,iomr6qsa@gmail.com
800,4,False,709.13,False,False,4,12,False,Fashion,15,0,3zqqbia8@gmail.com
1526,3,False,907.44,False,True,1,8,False,Fashion,2,0,shovdw43@outlook.com
1554,3,False,641.42,True,False,2,10,False,Groceries,24,0,qiho122e@outlook.com
430,5,False,281.49,False,True,4,20,False,Fashion,30,0,h3dqngoy@gmail.com
584,5,False,930.6,False,False,4,8,False,Home Appliances,12,0,cyfsrosd@outlook.com
970,5,False,1066.19,False,False,4,10,False,Electronics,17,0,4n2sstv3@gmail.com
1622,1,True,713.49,False,True,5,11,False,Groceries,29,0,bsfsz3zv@outlook.com
1902,3,False,560.99,False,False,2,8,False,Fashion,18,0,kgljqw94@outlook.com
1826,3,False,675.4,False,False,1,17,False,Fashion,24,0,pmzpfl86@yahoo.com
863,0,False,1350.76,False,False,3,20,False,Electronics,28,0,t5krd7dl@outlook.com
1084,2,False,738.25,False,True,3,10,False,Beauty,14,0,n1gh7519@gmail.com
677,2,True,213.65,False,False,1,9,False,Beauty,10,0,mvjly2vv@outlook.com
1401,0,False,459.35,False,False,3,6,False,Home Appliances,3,0,2ytpgi31@yahoo.com
1737,5,False,1303.18,False,False,3,5,False,Groceries,10,0,kj9frl4k@outlook.com
1404,5,False,900.15,False,True,2,5,True,Fashion,17,0,ml8t62xu@yahoo.com
1920,3,False,1036.03,False,True,3,12,False,Groceries,27,0,4fdyylcj@yahoo.com
1980,0,False,464.61,False,False,2,2,False,Fashion,22,0,cxhxz8oj@outlook.com
1950,0,False,883.47,False,False,5,17,False,Groceries,6,0,qj7so7wg@yahoo.com
1966,5,False,1381.11,False,True,2,8,False,Electronics,12,0,y8d5wbsz@outlook.com
1195,3,False,743.1,False,False,1,12,False,Electronics,22,0,bqfa574b@outlook.com
785,1,False,1113.44,False,True,3,13,False,Groceries,15,0,ibn7molz@gmail.com
70,3,True,1499.0,True,False,6,15,True,Fashion,18,1,user@invalid_domain.com
1557,1,True,677.92,False,False,3,16,False,Electronics,13,0,35ga3pqg@yahoo.com
1117,0,False,1150.87,False,True,4,14,False,Groceries,19,0,88xgja6c@yahoo.com
1328,3,False,258.82,False,False,3,19,False,Electronics,17,0,ec4mr2dm@gmail.com
1351,4,False,1454.29,False,True,5,8,False,Home Appliances,19,0,ampdv4sz@yahoo.com
1131,4,False,979.05,False,True,5,15,False,Home Appliances,27,0,4pso0uyu@outlook.com
996,1,False,1279.9,False,False,3,14,False,Groceries,20,0,ch4210nm@outlook.com
1784,5,False,372.15,False,False,1,9,False,Fashion,3,0,kd68wnfo@yahoo.com
783,0,False,1009.15,False,False,5,11,False,Beauty,6,0,v3dlkqcj@yahoo.com
877,4,False,88.61,False,False,3,12,False,Home Appliances,13,0,uffo9l8c@yahoo.com
1888,2,False,1301.09,False,False,4,14,False,Electronics,27,0,b9fduv7g@outlook.com
1759,5,False,531.03,False,False,1,7,False,Groceries,25,0,hfceksnt@yahoo.com
1960,2,False,679.98,False,False,4,19,False,Beauty,23,0,zb6sed09@yahoo.com
1723,5,False,393.94,False,False,2,9,False,Beauty,10,0,767k3p4i@yahoo.com
1681,2,True,48.02,False,False,3,7,False,Beauty,2,0,06mrpxbk@outlook.com
1412,2,False,1409.29,False,False,5,19,False,Home Appliances,23,0,9yi2x6pk@yahoo.com
593,2,False,1467.88,False,False,3,5,False,Home Appliances,2,0,akv8aa4w@outlook.com
486,4,False,1492.83,False,False,1,3,True,Beauty,1,0,69gp4d5o@gmail.com
811,5,False,1153.54,False,True,2,3,False,Electronics,2,0,7hk238ac@yahoo.com
1685,0,False,320.99,False,True,2,13,False,Groceries,16,0,rg240qi7@outlook.com
1678,3,False,541.77,False,False,4,20,False,Groceries,22,0,q8xn52fv@yahoo.com
467,1,False,130.54,False,True,5,18,False,Groceries,24,0,vvzr0ebv@outlook.com
368,1,False,1154.13,False,True,3,15,False,Groceries,4,0,26fxubio@gmail.com
846,5,False,261.74,False,True,1,5,False,Electronics,5,0,blddmfax@gmail.com
1217,0,False,133.71,False,True,1,19,False,Groceries,28,0,r1xwgr0r@yahoo.com
761,4,True,1097.96,False,True,5,18,False,Groceries,14,0,g5g00f1p@yahoo.com
1863,5,False,659.98,False,True,3,6,False,Beauty,7,0,kuq296zx@gmail.com
1927,2,False,458.96,False,False,3,4,False,Beauty,25,0,8sktt0xw@outlook.com
1742,3,False,908.41,False,False,2,7,False,Fashion,4,0,fu0ya1c9@yahoo.com
1906,3,False,1273.65,False,True,3,12,False,Fashion,14,0,2pwk7f89@gmail.com
1302,2,False,1415.89,False,False,4,5,False,Groceries,23,0,fblr5jpv@yahoo.com
1492,3,False,16.81,False,True,2,3,False,Home Appliances,3,0,rh0kj5uf@yahoo.com
963,2,False,46.7,False,True,5,4,False,Fashion,26,0,q0szo283@gmail.com
1468,3,True,354.59,False,True,4,5,False,Groceries,15,0,z4rv14i2@gmail.com
636,5,True,1169.34,False,False,4,5,False,Groceries,6,0,4bc960gd@gmail.com
1254,4,False,1279.22,False,True,3,16,False,Electronics,27,0,i5fh6piy@gmail.com
1400,3,False,1306.29,False,False,5,15,False,Home Appliances,29,0,8wb7hdwh@gmail.com
1749,5,False,970.65,False,False,4,1,False,Beauty,27,0,p13a23us@outlook.com
1539,3,False,484.04,False,True,3,4,False,Groceries,14,0,s8tgfrlr@outlook.com
1859,1,False,45.62,False,False,1,8,False,Home Appliances,15,0,fhgcfk0c@yahoo.com
575,4,False,1371.03,False,False,5,5,False,Beauty,27,0,bvch1uub@gmail.com
854,5,False,94.96,False,False,2,19,False,Fashion,7,0,g6vzpcr2@gmail.com
1462,1,False,1469.56,False,False,5,1,True,Home Appliances,29,0,ak3p51ml@yahoo.com
1770,5,False,532.73,False,False,4,8,False,Beauty,21,0,7tw0mp71@yahoo.com
1608,1,False,60.01,False,False,5,19,False,Beauty,5,0,kld948mg@gmail.com
735,4,False,291.82,False,True,4,9,True,Groceries,8,0,hn1ecxkx@outlook.com
1838,1,False,590.83,False,False,3,3,False,Home Appliances,8,0,obmr685d@gmail.com
1199,0,False,781.91,False,False,4,3,False,Electronics,18,0,07rdww6j@gmail.com
1601,3,False,353.5,False,False,4,11,False,Groceries,5,0,mfww0zeh@yahoo.com
1324,2,False,669.71,False,False,4,20,False,Beauty,27,0,g272h25g@gmail.com
1509,3,True,962.63,False,True,3,4,False,Fashion,7,0,vcitef2n@yahoo.com
823,0,False,603.47,False,False,5,2,False,Beauty,18,0,3pdjh0i2@outlook.com
1143,1,False,36.39,False,True,2,20,False,Home Appliances,23,0,fum3bxj2@yahoo.com
1144,1,False,1145.81,False,False,5,7,True,Fashion,29,0,eb09uwi2@outlook.com
797,3,True,272.6,False,False,2,15,True,Groceries,12,0,rpc9v8ak@yahoo.com
1267,4,False,669.54,False,True,4,16,False,Electronics,12,0,u0twh84r@outlook.com
617,2,False,967.26,False,True,3,9,False,Groceries,12,0,4x30khiv@yahoo.com
431,5,False,710.65,False,True,3,11,False,Groceries,19,0,dyk5yy00@outlook.com
1587,5,False,1216.55,False,False,2,11,False,Electronics,3,0,xfzrktua@outlook.com
1703,4,False,1443.1,False,False,2,13,False,Home Appliances,1,0,dw08j24g@gmail.com
606,1,False,807.0,False,True,2,19,False,Electronics,15,0,2ki8mq59@yahoo.com
